Code,Date ,Start Time,End Time,Temperature (°C),Cloud Cover code,Beaufort scale ,Day of Week ,Species ,Bird Scientific Name ,Behaviour,Time of Observation,Plant species,Scientific.name,DBH,DBHClass,Native,BehaviourType,Type
Y27,03/06/2024,7:57,8:17,21,1,2,Monday,EUST,Sturnus vulgaris,Perch,7:57,Manitoba maple,Acer negundo,106,Large,Yes,Rest,Yard
Y27,03/06/2024,7:57,8:17,21,1,2,Monday,EUST,Sturnus vulgaris,Peck,8:03,Manitoba maple,Acer negundo,106,Large,Yes,Foraging,Yard
Y27,03/06/2024,7:57,8:17,21,1,2,Monday,WBNU,Sitta carolinensis,Peck,8:05,Manitoba maple,Acer negundo,106,Large,Yes,Foraging,Yard
Y27,03/06/2024,7:57,8:17,21,1,2,Monday,EUST,Sturnus vulgaris,Perch,8:08,Manitoba maple,Acer negundo,106,Large,Yes,Rest,Yard
Y27,03/06/2024,7:57,8:17,21,1,2,Monday,EUST,Sturnus vulgaris,Perch,8:08,Manitoba maple,Acer negundo,106,Large,Yes,Rest,Yard
Y27,08/07/2024,8:33,8:53,23,2,2,Monday,EUST,Sturnus vulgaris,Vocalize,8:33,Manitoba maple,Acer negundo,106,Large,Yes,Territory_defense,Yard
Y27,08/07/2024,8:33,8:53,23,2,2,Monday,AMRO,Turdus migratorius,Perch,8:39,Manitoba maple,Acer negundo,106,Large,Yes,Rest,Yard
Y27,08/07/2024,8:33,8:53,23,2,2,Monday,AMRO,Turdus migratorius,Perch,8:41,Manitoba maple,Acer negundo,106,Large,Yes,Rest,Yard
Y49,23/05/2024,8:36,8:57,21,4,3,Thursday,HOFI,Haemorhous mexicanus,Perch,8:40,Japanese maple,Acer palmatum,5,Small,No,Rest,Yard
Y49,23/05/2024,8:36,8:57,21,4,3,Thursday,HOSP,Passer domesticus,Perch,8:50,Japanese maple,Acer palmatum,5,Small,No,Rest,Yard
Y49,23/05/2024,8:36,8:57,21,4,3,Thursday,WAVI,Vireo gilvus,Perch,8:50,Japanese maple,Acer palmatum,5,Small,No,Rest,Yard
Y33,03/06/2024,8:57,9:17,21,1,2,Monday,HOSP,Passer domesticus,Collect nesting material,9:03,Japanese maple,Acer palmatum,5,Small,No,Reproduction,Yard
Y04,05/06/2024,8:19,8:39,21,3,2,Wednesday,HOSP,Passer domesticus,Perch,8:23,Japanese maple,Acer palmatum,6,Small,No,Rest,Yard
Y49,10/06/2024,7:16,7:36,14,4,3,Monday,CHSP,Spizella passerina,Vocalize,7:33,Japanese maple,Acer palmatum,9,MedSmall,No,Territory_defense,Yard
Y13,31/05/2024,10:37,10:57,19,1,2,Friday ,WBNU,Sitta carolinensis,Peck,10:50,Japanese maple,Acer palmatum,10,MedSmall,No,Foraging,Yard
Y18,19/06/2024,7:26,7:46,26,4,2,Wednesday,NOCA,Cardinalis cardinalis,Vocalize,7:26,Norway maple,Acer platanoides,4,Small,No,Territory_defense,Yard
Y18,19/06/2024,7:26,7:46,26,4,2,Wednesday,NOCA,Cardinalis cardinalis,Preen,7:30,Norway maple,Acer platanoides,4,Small,No,Grooming,Yard
Y18,19/06/2024,7:26,7:46,26,4,2,Wednesday,NOCA,Cardinalis cardinalis,Vocalize,7:41,Norway maple,Acer platanoides,4,Small,No,Territory_defense,Yard
Y18,04/07/2024,7:32,7:52,22,4,3,Thursday,AMRO,Turdus migratorius,Preen,7:38,Norway maple,Acer platanoides,5,Small,No,Grooming,Yard
Y24,20/06/2024,7:49,8:09,27,1,2,Thursday,AMGO,Spinus tristis,Perch,7:52,Norway maple,Acer platanoides,15,MedLarge,No,Rest,Yard
Y24,20/06/2024,7:49,8:09,27,1,2,Thursday,AMGO,Spinus tristis,Perch,7:52,Norway maple,Acer platanoides,15,MedLarge,No,Rest,Yard
S05,24/05/2024,7:27,7:48,17,4,4,Friday,HOSP,Passer domesticus,Vocalize,7:27,Norway maple,Acer platanoides,20,MedLarge,No,Territory_defense,Street
S05,24/05/2024,7:27,7:48,17,4,4,Friday,HOSP,Passer domesticus,Perch,7:30,Norway maple,Acer platanoides,20,MedLarge,No,Rest,Street
S05,24/05/2024,7:27,7:48,17,4,4,Friday,CHSP,Spizella passerina,Vocalize,7:34,Norway maple,Acer platanoides,20,MedLarge,No,Territory_defense,Street
S05,24/05/2024,7:27,7:48,17,4,4,Friday,CHSP,Spizella passerina,Collect nesting material,7:37,Norway maple,Acer platanoides,20,MedLarge,No,Reproduction,Street
S05,24/05/2024,7:27,7:48,17,4,4,Friday,CHSP,Spizella passerina,Perch,7:37,Norway maple,Acer platanoides,20,MedLarge,No,Rest,Street
S05,24/05/2024,7:27,7:48,17,4,4,Friday,HOSP,Passer domesticus,Vocalize,7:44,Norway maple,Acer platanoides,20,MedLarge,No,Territory_defense,Street
S05,24/05/2024,7:27,7:48,17,4,4,Friday,HOSP,Passer domesticus,Vocalize,7:48,Norway maple,Acer platanoides,20,MedLarge,No,Territory_defense,Street
S10,19/07/2024,10:06,10:26,20,1,2,Friday,HOSP,Passer domesticus,Vocalize,10:17,Norway maple,Acer platanoides,20,MedLarge,No,Territory_defense,Street
