Sample Site,Site Code,Species Code,Species Latin,Species Common,DBH (2020):,DBH Round,Latitude,Longitude,Index
BENNY,P1,PNNI,Pinus Nigra 'Austriaca',Austrian Pine,41,41,45.466349,-73.6335928,269
BENNY,P1,PNNI,Pinus Nigra 'Austriaca',Austrian Pine,41.4,41,45.465624,-73.632052,270
BENNY,P1,PNNI,Pinus Nigra 'Austriaca',Austrian Pine,41.9,42,45.4657933,-73.6325497,271
BENNY,P1,ACSC,Acer Saccharum,Sugar Maple,42.1,42,45.465907,-73.63237,272
BENNY,P1,ULPU,Ulmus Pumila,Siberian Elm,42.4,42,45.4665039,-73.6336256,273
BENNY,P1,VILE,Viburnum Lentago,Nannyberry,43.2,43,45.4672159,-73.6331177,274
BENNY,P1,PNSY,Pinus Sylvestris,Scots Pine,43.4,43,45.4656299,-73.6325755,275
BENNY,P1,PIPU,Picea Pungens,Colorado Spruce,44.1,44,45.4653887,-73.6322507,276
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,45.1,45,45.4660134,-73.6334493,277
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,45.7,46,45.465449,-73.632536,278
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,46.5,47,45.465404,-73.632451,279
BENNY,P1,FRAM,Fraxinus Americana,White Ash,47,47,45.466865,-73.631698,280
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,47.1,47,45.4663466,-73.6339867,281
BENNY,P1,PIAB,Picea Abies,Norway Spruce,48.3,48,45.466469,-73.631323,282
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,48.4,48,45.4663927,-73.634093,283
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,49.1,49,45.4659474,-73.6333943,284
BENNY,P1,PIAB,Picea Abies,Norway Spruce,49.5,50,45.466482,-73.631371,285
BENNY,P1,PODE,Populus Deltoides,Eastern Cottonwood,49.9,50,45.467038,-73.632708,286
BENNY,P1,PNSY,Pinus Sylvestris,Scots Pine,51.2,51,45.4655751,-73.6325262,287
BENNY,P1,GLTR,Gleditsia Triacanthos,Common Honeylocust,52.5,53,45.466425,-73.631536,288
BENNY,P1,PNSY,Pinus Sylvestris,Scots Pine,52.6,53,45.4656668,-73.6326309,289
BENNY,P1,TICO,Tilia Cordata,Littleleaf European Linden,52.6,53,45.467429,-73.632745,290
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,52.7,53,45.466117,-73.631521,291
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,52.9,53,45.4662975,-73.6338959,292
BENNY,P1,PNSY,Pinus Sylvestris,Scots Pine,53.6,54,45.4656048,-73.6325316,293
BENNY,P1,PNNI,Pinus Nigra 'Austriaca',Austrian Pine,53.9,54,45.4662667,-73.6336213,294
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,55.2,55,45.4660692,-73.6335582,295
BENNY,P1,PNNI,Pinus Nigra 'Austriaca',Austrian Pine,55.2,55,45.4663205,-73.6336099,296
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,55.3,55,45.4657299,-73.6330399,297
BENNY,P1,EUAL,Euonymous Alatus,Burning Bush,56.3,56,45.4661416,-73.6315885,298
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,56.9,57,45.4658418,-73.6332199,299
BENNY,P1,GLTR,Gleditsia Triacanthos,Common Honeylocust,57.4,57,45.466502,-73.631737,300
BENNY,P1,FRAM,Fraxinus Americana,White Ash,58,58,45.46579,-73.632987,301
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,58.2,58,45.4665009,-73.63426,302
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,59.2,59,45.4662065,-73.6338328,303
BENNY,P1,QUMA,Quercus Macrocarpa,Bur Oak,59.6,60,45.466952,-73.631727,304
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,59.8,60,45.465561,-73.632758,305
BENNY,P1,PNSY,Pinus Sylvestris,Scots Pine,60.8,61,45.4660567,-73.6332347,306
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,61.9,62,45.466178,-73.631465,307
BENNY,P1,GLTR,Gleditsia Triacanthos,Common Honeylocust,64.1,64,45.466363,-73.631484,308
BENNY,P1,PNSY,Pinus Sylvestris,Scots Pine,64.2,64,45.4656584,-73.6327033,309
BENNY,P1,PNSY,Pinus Sylvestris,Scots Pine,64.9,65,45.4659584,-73.6330741,310
BENNY,P1,PNSY,Pinus Sylvestris,Scots Pine,66.7,67,45.4660776,-73.6331965,311
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,70.8,71,45.466131,-73.6337074,312
BENNY,P1,TICO,Tilia Cordata,Littleleaf European Linden,78.3,78,45.466838,-73.633995,313
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,85.6,86,45.466725,-73.631205,314
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,86.8,87,45.466805,-73.631378,315
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,88.9,89,45.466572,-73.631565,316
BENNY,P1,ACSA,Acer Saccharinum,Silver Maple,88.9,89,45.467336,-73.633536,317
BENNY,P1,PODE,Populus Deltoides,Eastern Cottonwood,89.5,90,45.467098,-73.632839,318
COFFEE,P2,JUNI,Juglans Nigra,Eastern Black Walnut,4.8,5,45.455732,-73.638387,319
COFFEE,P2,ACNE,Acer Negundo,Manitoba Maple,5.2,5,45.4554215,-73.6386973,320
COFFEE,P2,RHCA,Rhamnus Cathartica,European Buckthorn,6.3,6,45.4552298,-73.639095,321
COFFEE,P2,TIAM,Tilia Americana,American Basswood,6.6,7,45.4553211,-73.6389136,322
COFFEE,P2,ACNE,Acer Negundo,Manitoba Maple,6.7,7,45.4555365,-73.6384673,323
COFFEE,P2,PHPU,Philadelphus Pubescens,Hoary Mockorange,7.1,7,45.4552181,-73.6391174,324
COFFEE,P2,JUNI,Juglans Nigra,Eastern Black Walnut,7.7,8,45.455848,-73.638896,325
COFFEE,P2,TIAM,Tilia Americana,American Basswood,7.9,8,45.4552275,-73.6390014,326
COFFEE,P2,PRVI,Prunus Virginiana,Common Chokecherry,8.2,8,45.4556167,-73.6383349,327
COFFEE,P2,TIAM,Tilia Americana,American Basswood,8.5,9,45.4556101,-73.638353,328
COFFEE,P2,PHPU,Philadelphus Pubescens,Hoary Mockorange,8.6,9,45.4552009,-73.6391141,329
COFFEE,P2,TIAM,Tilia Americana,American Basswood,8.7,9,45.4554584,-73.6385371,330
COFFEE,P2,ACTA,Acer Tataricum,Tatarian Maple,8.8,9,45.4547061,-73.640072,331
COFFEE,P2,FRPE,Fraxinus Pennsylvanica,Red Ash,9,9,45.4554295,-73.6386776,332
COFFEE,P2,FRPE,Fraxinus Pennsylvanica,Red Ash,9,9,45.45556,-73.638388,333
COFFEE,P2,PHPU,Philadelphus Pubescens,Hoary Mockorange,9.3,9,45.4551844,-73.63916,334
COFFEE,P2,ACSC,Acer Saccharum,Sugar Maple,9.6,10,45.455728,-73.638585,335
COFFEE,P2,TIAM,Tilia Americana,American Basswood,10.2,10,45.4553213,-73.6389015,336
COFFEE,P2,TIAM,Tilia Americana,American Basswood,10.2,10,45.4556165,-73.6383343,337
COFFEE,P2,ACPL,Acer Platanoides,Superform Norway Maple,10.2,10,45.455699,-73.639085,338
COFFEE,P2,QUMA,Quercus Macrocarpa,Bur Oak,10.3,10,45.455888,-73.639016,339
COFFEE,P2,THOC,Thuja Occidentalis,Eastern White Cedar,10.6,11,45.4552287,-73.6389699,340
COFFEE,P2,ACTA,Acer Tataricum,Tatarian Maple,11.2,11,45.4548392,-73.6398534,341
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,11.8,12,45.454768,-73.640041,342
COFFEE,P2,JUNI,Juglans Nigra,Eastern Black Walnut,12.5,13,45.455803,-73.638784,343
COFFEE,P2,ACTA,Acer Tataricum,Tatarian Maple,13.3,13,45.4548902,-73.6397883,344
COFFEE,P2,TIAM,Tilia Americana,American Basswood,13.3,13,45.4553253,-73.6389032,345
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,13.5,14,45.454845,-73.640124,346
COFFEE,P2,ULMI,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,14.1,14,45.455062,-73.639928,347
COFFEE,P2,TIAM,Tilia Americana,American Basswood,14.3,14,45.4553161,-73.6389186,348
COFFEE,P2,ACTA,Acer Tataricum,Tatarian Maple,14.6,15,45.454715,-73.6401172,349
COFFEE,P2,ACTA,Acer Tataricum,Tatarian Maple,14.6,15,45.4548599,-73.6399476,350
COFFEE,P2,ACSC,Acer Saccharum,Sugar Maple,14.6,15,45.455759,-73.638674,351
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,15.1,15,45.455097,-73.639716,352
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,15.2,15,45.45471,-73.640164,353
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,15.2,15,45.454841,-73.640179,354
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,15.7,16,45.454739,-73.640073,355
COFFEE,P2,TIAM,Tilia Americana,American Basswood,15.9,16,45.4553787,-73.638813,356
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,16.1,16,45.454807,-73.640058,357
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,16.4,16,45.45471,-73.640097,358
COFFEE,P2,TIAM,Tilia Americana,American Basswood,16.4,16,45.4553124,-73.6389361,359
COFFEE,P2,ACTA,Acer Tataricum,Tatarian Maple,16.5,17,45.454739,-73.6400307,360
COFFEE,P2,ACTA,Acer Tataricum,Tatarian Maple,16.5,17,45.4548902,-73.6398044,361
COFFEE,P2,CTSP,Catalpa Speciosa,Western Catalpa,16.5,17,45.455628,-73.639095,362
COFFEE,P2,ACNE,Acer Negundo,Manitoba Maple,17.3,17,45.4553472,-73.638863,363
COFFEE,P2,RHCA,Rhamnus Cathartica,European Buckthorn,17.4,17,45.4551917,-73.6393186,364
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,17.7,18,45.45511,-73.639571,365
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,18.7,19,45.455204,-73.639506,366
COFFEE,P2,TIAM,Tilia Americana,American Basswood,18.8,19,45.4554476,-73.6385344,367
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,19.4,19,45.455148,-73.639609,368
COFFEE,P2,TIAM,Tilia Americana,American Basswood,19.6,20,45.455319,-73.6388968,369
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,20,20,45.455163,-73.639472,370
COFFEE,P2,FRAM,Fraxinus Americana,Manitou White Ash,20.2,20,45.454945,-73.639992,371
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,21.1,21,45.455037,-73.639677,372
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,21.2,21,45.454972,-73.639681,373
COFFEE,P2,CTSP,Catalpa Speciosa,Western Catalpa,21.8,22,45.455766,-73.639073,374
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,22.3,22,45.454976,-73.639541,375
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,22.6,23,45.45478,-73.640245,376
COFFEE,P2,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,22.9,23,45.454817,-73.640212,377
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,22.9,23,45.455016,-73.639698,378
COFFEE,P2,ACTA,Acer Tataricum,Tatarian Maple,23.2,23,45.4555372,-73.6384616,379
COFFEE,P2,CTSP,Catalpa Speciosa,Western Catalpa,24.4,24,45.455483,-73.63912,380
COFFEE,P2,ACGI,Acer Ginnala,Armur Maple,27.4,27,45.455441,-73.639491,381
COFFEE,P2,TICO,Tilia Cordata,Littleleaf European Linden,30.7,31,45.454773,-73.64014,382
COFFEE,P2,MASY,Malus Sylvestris,Common Apple,32,32,45.455224,-73.639772,383
COFFEE,P2,TIAM,Tilia Americana,American Basswood,32,32,45.455558,-73.639471,384
COFFEE,P2,MASY,Malus Sylvestris,Common Apple,32.1,32,45.455158,-73.639834,385
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,32.2,32,45.455022,-73.639446,386
COFFEE,P2,TIAM,Tilia Americana,American Basswood,33.4,33,45.455628,-73.6394,387
COFFEE,P2,MASY,Malus Sylvestris,Common Apple,34.2,34,45.455264,-73.639721,388
COFFEE,P2,ACGI,Acer Ginnala,Armur Maple,34.6,35,45.455493,-73.639334,389
COFFEE,P2,ACNE,Acer Negundo,Manitoba Maple,36.1,36,45.454868,-73.639934,390
COFFEE,P2,PRSE,Prunus Serotina,Black Cherry,38.5,39,45.45525,-73.639009,391
COFFEE,P2,ACGI,Acer Ginnala,Armur Maple,38.5,39,45.455498,-73.639281,392
COFFEE,P2,ACGI,Acer Ginnala,Armur Maple,40.1,40,45.455342,-73.639597,393
COFFEE,P2,FRPE,Fraxinus Pennsylvanica,Red Ash,43.3,43,45.455938,-73.638914,394
COFFEE,P2,TICO,Tilia Cordata,Littleleaf European Linden,45.6,46,45.455213,-73.639842,395
COFFEE,P2,ACNE,Acer Negundo,Manitoba Maple,48.5,49,45.455386,-73.638754,396
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,49,49,45.455553,-73.639369,397
COFFEE,P2,ACGI,Acer Ginnala,Armur Maple,49.6,50,45.455452,-73.639543,398
COFFEE,P2,FRPE,Fraxinus Pennsylvanica,Red Ash,49.9,50,45.455783,-73.638521,399
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,51.7,52,45.455515,-73.639431,400
COFFEE,P2,FRPE,Fraxinus Pennsylvanica,Red Ash,53.9,54,45.455888,-73.638805,401
COFFEE,P2,TIAM,Tilia Americana,American Basswood,54.4,54,45.455624,-73.639315,402
COFFEE,P2,TICO,Tilia Cordata,Littleleaf European Linden,55.1,55,45.455493,-73.639549,403
COFFEE,P2,TICO,Tilia Cordata,Littleleaf European Linden,55.3,55,45.455694,-73.63933,404
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,57.9,58,45.454991,-73.639789,405
COFFEE,P2,ACNE,Acer Negundo,Manitoba Maple,58.9,59,45.45474,-73.640004,406
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,60.9,61,45.454927,-73.639632,407
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,62.3,62,45.455381,-73.639302,408
COFFEE,P2,TICO,Tilia Cordata,Littleleaf European Linden,62.4,62,45.454719,-73.64026,409
COFFEE,P2,TIAM,Tilia Americana,American Basswood,62.5,63,45.455451,-73.63864,410
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,63.1,63,45.454914,-73.639706,411
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,63.7,64,45.455116,-73.639251,412
COFFEE,P2,ACNE,Acer Negundo,Manitoba Maple,64.1,64,45.454858,-73.639955,413
COFFEE,P2,TIAM,Tilia Americana,American Basswood,64.4,64,45.455539,-73.638444,414
COFFEE,P2,FRPE,Fraxinus Pennsylvanica,Red Ash,64.6,65,45.455822,-73.638618,415
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,66.2,66,45.455048,-73.639847,416
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,66.4,66,45.455091,-73.639777,417
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,66.5,67,45.455301,-73.639677,418
COFFEE,P2,TICO,Tilia Cordata,Littleleaf European Linden,67.9,68,45.455494,-73.63854,419
COFFEE,P2,ACNE,Acer Negundo,Manitoba Maple,69.6,70,45.454889,-73.639907,420
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,69.7,70,45.455074,-73.639341,421
COFFEE,P2,ACNE,Acer Negundo,Manitoba Maple,70,70,45.454927,-73.640133,422
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,71.2,71,45.455139,-73.639209,423
COFFEE,P2,TICO,Tilia Cordata,Littleleaf European Linden,71.6,72,45.455344,-73.638823,424
COFFEE,P2,ACSA,Acer Saccharinum,Silver Maple,73.5,74,45.454954,-73.639824,425
COFFEE,P2,TIAM,Tilia Americana,American Basswood,73.8,74,45.455289,-73.638916,426
COFFEE,P2,TICO,Tilia Cordata,Littleleaf European Linden,85.7,86,45.455315,-73.63943,427
COFFEE,P2,ACNE,Acer Negundo,Manitoba Maple,85.9,86,45.454765,-73.639995,428
COFFEE,P2,ACNE,Acer Negundo,Manitoba Maple,147.4,147,45.455229,-73.639058,429
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,5.2,5,45.4567056,-73.648988,430
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,5.2,5,45.4568288,-73.648886,431
CONNAUGHT-TOWNSEND,P3,MABA,Malus Baccata 'Jefspire',Purple Spire Crabapple,5.4,5,45.456609,-73.648745,432
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,5.5,6,45.4568037,-73.6488944,433
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,5.5,6,45.4568408,-73.6488673,434
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,5.5,6,45.4568502,-73.6488646,435
CONNAUGHT-TOWNSEND,P3,ACNE,Acer Negundo,Manitoba Maple,5.6,6,45.4567992,-73.6486356,436
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6,6,45.4566169,-73.6490446,437
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6,6,45.4567202,-73.6489642,438
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6,6,45.4568378,-73.6488817,439
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.2,6,45.4566903,-73.6490037,440
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.2,6,45.456819,-73.6488881,441
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.3,6,45.456778,-73.6489145,442
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.3,6,45.4568246,-73.648886,443
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.4,6,45.4567865,-73.6489088,444
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.8,7,45.4567566,-73.6489196,445
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.9,7,45.4568319,-73.6488797,446
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7,7,45.4566522,-73.6490064,447
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7,7,45.4566891,-73.6490004,448
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.3,7,45.4567602,-73.6489202,449
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.3,7,45.4568679,-73.6488522,450
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.4,7,45.4567209,-73.6489397,451
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.4,7,45.4567258,-73.6489303,452
CONNAUGHT-TOWNSEND,P3,SAALTR,Salix Alba 'Tristis',Golden Weeping Willow,7.5,8,45.456806,-73.6488,453
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.5,8,45.4568439,-73.6488703,454
CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,7.6,8,45.4568359,-73.6487124,455
CONNAUGHT-TOWNSEND,P3,ACNE,Acer Negundo,Manitoba Maple,7.7,8,45.4568669,-73.6487895,456
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.8,8,45.4567733,-73.6489145,457
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,8,8,45.4567362,-73.6489256,458
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,8.2,8,45.4567926,-73.6489115,459
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,8.6,9,45.4568124,-73.6488887,460
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,8.6,9,45.4568726,-73.6488478,461
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,8.7,9,45.4567968,-73.6489068,462
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,9,9,45.4567905,-73.6489085,463
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,9.1,9,45.4568629,-73.6488575,464
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,9.2,9,45.4567112,-73.6489347,465
CONNAUGHT-TOWNSEND,P3,PIAB,Picea Abies,Norway Spruce,9.4,9,45.456639,-73.648943,466
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,9.5,10,45.4566941,-73.6489833,467
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,9.8,10,45.4568827,-73.6488441,468
CONNAUGHT-TOWNSEND,P3,PIAB,Picea Abies,Norway Spruce,10.9,11,45.456694,-73.648906,469
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,11.6,12,45.4568281,-73.6488787,470
CONNAUGHT-TOWNSEND,P3,MABA,Malus Baccata,Common Crabapple,15.3,15,45.456651,-73.648862,471
CONNAUGHT-TOWNSEND,P3,MASY,Malus Sylvestris,European Crabapple,16.1,16,45.45672,-73.648696,472
CONNAUGHT-TOWNSEND,P3,JUCI,Juglans Cinerea,Butternut,16.9,17,45.456708,-73.648777,473
CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,17.2,17,45.4567112,-73.6489692,474
CONNAUGHT-TOWNSEND,P3,GLTR,Gleditsia Triacanthos 'Skyline',Skyline Honey-Locust,24,24,45.456816,-73.648878,475
CONNAUGHT-TOWNSEND,P3,GLTR,Gleditsia Triacanthos 'Skyline',Skyline Honey-Locust,32.3,32,45.456775,-73.648909,476
CONNAUGHT-TOWNSEND,P3,GLTR,Gleditsia Triacanthos 'Skyline',Skyline Honey-Locust,32.8,33,45.456863,-73.648842,477
CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,36.4,36,45.456628,-73.648667,478
CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,37.1,37,45.456564,-73.648718,479
CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,42.5,43,45.456778,-73.648562,480
CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,44.2,44,45.456697,-73.648621,481
CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,45.9,46,45.456816,-73.648656,482
CONNAUGHT-TOWNSEND,P3,ACNE,Acer Negundo,Manitoba Maple,48,48,45.4567919,-73.6486738,483
CONNAUGHT-TOWNSEND,P3,FRPE,Fraxinus Pennsylvanica,Red Ash,58.4,58,45.456547,-73.648845,484
CONNAUGHT-TOWNSEND,P3,ACPL,Acer Platanoides,Norway Maple,61,61,45.456603,-73.649002,485
CONNAUGHT-TOWNSEND,P3,ACPL,Acer Platanoides,Norway Maple,67.3,67,45.4568441,-73.6487318,486
HERBERT-OUTERBRIDGE,P4,CEOC,Celtis Occidentalis,Common Hackberry,5.1,5,45.4654931,-73.6269533,487
HERBERT-OUTERBRIDGE,P4,QUPA,Quercus Palustris,Pin Oak,5.6,6,45.465531,-73.627097,488
HERBERT-OUTERBRIDGE,P4,GIBI,Ginkgo Biloba,Maidenhair Tree,5.7,6,45.465676,-73.627247,489
HERBERT-OUTERBRIDGE,P4,QUPA,Quercus Palustris,Pin Oak,5.9,6,45.465592,-73.627039,490
HERBERT-OUTERBRIDGE,P4,QUPA,Quercus Palustris,Pin Oak,6.1,6,45.465469,-73.627155,491
HERBERT-OUTERBRIDGE,P4,PYCO,Pyrus Domestica,Common Pear,6.4,6,45.465578,-73.62753,492
HERBERT-OUTERBRIDGE,P4,CEOC,Celtis Occidentalis,Common Hackberry,7.8,8,45.4653268,-73.6271444,493
HERBERT-OUTERBRIDGE,P4,PYCO,Pyrus Domestica,Common Pear,8.6,9,45.465499,-73.627531,494
HERBERT-OUTERBRIDGE,P4,QUMA,Quercus Macrocarpa,Bur Oak,9.9,10,45.465511,-73.627294,495
HERBERT-OUTERBRIDGE,P4,THOC,Thuja Occidentalis,Eastern White Cedar,10.7,11,45.465804,-73.627277,496
HERBERT-OUTERBRIDGE,P4,COCO,Corylus Colurna,Turkish Filbert,12.7,13,45.46531,-73.627352,497
HERBERT-OUTERBRIDGE,P4,PRVI,Prunus Virginiana,Common Chokecherry,13.2,13,45.4655883,-73.6268772,498
HERBERT-OUTERBRIDGE,P4,COCO,Corylus Colurna,Turkish Filbert,13.8,14,45.465336,-73.627389,499
HERBERT-OUTERBRIDGE,P4,THOC,Thuja Occidentalis,Eastern White Cedar,13.9,14,45.46576,-73.627311,500
HERBERT-OUTERBRIDGE,P4,THOC,Thuja Occidentalis,Eastern White Cedar,16.8,17,45.465791,-73.627321,501
HERBERT-OUTERBRIDGE,P4,TIERWR,Tilia x Europaea 'Wratislaviensis',Warsaw Linden,17.1,17,45.465383,-73.627477,502
HERBERT-OUTERBRIDGE,P4,TICO,Tilia Cordata,Littleleaf European Linden,18.1,18,45.4656819,-73.6268259,503
HERBERT-OUTERBRIDGE,P4,TICO,Tilia Cordata,Littleleaf European Linden,20.7,21,45.4656626,-73.62684,504
HERBERT-OUTERBRIDGE,P4,PIPU,Picea Pungens,Glauca Blue Spruce,21,21,45.465437,-73.627296,505
HERBERT-OUTERBRIDGE,P4,MABA,Malus Baccata,Crab Apple,23.1,23,45.465621,-73.627304,506
HERBERT-OUTERBRIDGE,P4,MABA,Malus Baccata,Crab Apple,23.6,24,45.465674,-73.627035,507
HERBERT-OUTERBRIDGE,P4,MABA,Malus Baccata,Crab Apple,23.9,24,45.465482,-73.627649,508
HERBERT-OUTERBRIDGE,P4,PIPU,Picea Pungens,Glauca Blue Spruce,26.6,27,45.46541,-73.627313,509
HERBERT-OUTERBRIDGE,P4,RHTY,Rhus Typhina,Staghorn Sumac,26.9,27,45.4656149,-73.6275166,510
HERBERT-OUTERBRIDGE,P4,FRPE,Fraxinus Pennsylvanica,Red Ash,29.5,30,45.465257,-73.62735,511
HERBERT-OUTERBRIDGE,P4,MABA,Malus Baccata,Crab Apple,29.6,30,45.465652,-73.627418,512
HERBERT-OUTERBRIDGE,P4,TACA,Taxus Canadensis,Canadian Yew,30.3,30,45.4653708,-73.6272812,513
HERBERT-OUTERBRIDGE,P4,PNNI,Pinus Nigra 'Austriaca',Austrian Pine,30.7,31,45.465637,-73.627121,514
HERBERT-OUTERBRIDGE,P4,QURU,Quercus Rubra,Red Oak,30.9,31,45.465737,-73.627201,515
