Code,Date,Time,Temperature,Wind,Noise,Cloud,Time.obs,Bird.code,Bird.sci,Bird.gen,Bird.sp,Behaviour,Behaviour.type,Plant.common,Plant.sci,Plant.genus,Plant.sp,DBH,Notes
S02,15/5/2024,10:33:00,15,2,NA,2,10:43:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
S01,15/5/2024,11:01:00,15,2,NA,2,10:10:00,GCKI,Regulus satrapa,Regulus,satrapa,Sally,Foraging,Silver maple,Acer saccharinum,Acer,saccharinum,76,
S01,15/5/2024,11:01:00,15,2,NA,2,10:10:00,GCKI,Regulus satrapa,Regulus,satrapa,Sally,Foraging,Silver maple,Acer saccharinum,Acer,saccharinum,76,
S01,15/5/2024,11:01:00,15,2,NA,2,10:15:00,HOFI,Haemorhous mexicanus,Haemorhous,mexicanus,Inactive rest,Inactive rest,Silver maple,Acer saccharinum,Acer,saccharinum,76,
S01,15/5/2024,11:01:00,15,2,NA,2,10:15:00,HOFI,Haemorhous mexicanus,Haemorhous,mexicanus,Inactive rest,Inactive rest,Silver maple,Acer saccharinum,Acer,saccharinum,76,
S01,15/5/2024,11:01:00,15,2,NA,2,10:20:00,AMRO,Turdus migratorius,Turdus,migratorius,Preening,Grooming,Silver maple,Acer saccharinum,Acer,saccharinum,76,
Y03,15/5/2024,07:03:00,13,4,NA,3,07:16:00,HOSP,Passer domesticus,Passer,domesticus,Inactive rest,Inactive rest,Beauty bush,Linnaea amabilis,Linnaea,amabilis,15,
Y03,15/5/2024,07:03:00,13,4,NA,3,07:20:00,EWPE,Contopus virens,Contopus,virens,Sally,Foraging,Burning bush,Euonymous alatus,Euonymous,alatus,10,
Y33,15/5/2024,08:09:00,13,4,NA,3,08:20:00,HOSP,Passer domesticus,Passer,domesticus,Vocalising,Vocalisation,Manitoba maple,Acer negundo,Acer,negundo,52,
Y33,15/5/2024,08:09:00,13,4,NA,3,08:21:00,EUST,Sturnus vulgaris,Sturnus,vulgaris,Peck,Foraging,Manitoba maple,Acer negundo,Acer,negundo,52,
Y33,15/5/2024,08:09:00,13,4,NA,3,09:23:00,HOSP,Passer domesticus,Passer,domesticus,Vocalising,Vocalisation,Manitoba maple,Acer negundo,Acer,negundo,39,
Y33,15/5/2024,08:09:00,13,4,NA,3,08:24:00,LEFL,Empidonax minimus,Empidonax,minimus,Glean,Foraging,Manitoba maple,Acer negundo,Acer,negundo,52,
Y33,15/5/2024,08:09:00,13,4,NA,3,08:26:00,AMRO,Turdus migratorius,Turdus,migratorius,Vocalising,Vocalisation,Manitoba maple,Acer negundo,Acer,negundo,39,
Y45,15/5/2024,09:03:00,13,4,NA,3,09:13:00,HOSP,Passer domesticus,Passer,domesticus,Inactive rest,Inactive rest,White cedar,Thuja occidentalis,Thuja,occidentalis,18,
Y45,15/5/2024,09:03:00,13,4,NA,3,09:14:00,HOSP,Passer domesticus,Passer,domesticus,Vocalising,Vocalisation,Balsam fir,Abies balsamae,Abies,balsamae,9,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:15:00,NOCA,Cardinalis cardinalis,Cardinalis,cardinalis,Vocalising,Vocalisation,Red spruce,Picea rubens,Picea,rubens,51,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:16:00,AMGO,Spinus tristis,Spinus,tristis,Vocalising,Vocalisation,Blue spruce,Picea pungens,Picea,pungens,30,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:16:00,AMGO,Spinus tristis,Spinus,tristis,Inactive rest,Inactive rest,Blue spruce,Picea pungens,Picea,pungens,30,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:18:00,CHSP,Spizella passerina,Spizella,passerina,Vocalising,Vocalisation,Siberian elm,Ulmus pumila,Ulmus,pumila,69,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:19:00,WAVI,Vireo gilvus,Vireo,gilvus,Glean,Foraging,Siberian elm,Ulmus pumila,Ulmus,pumila,69,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:19:00,WAVI,Vireo gilvus,Vireo,gilvus,Glean,Foraging,Siberian elm,Ulmus pumila,Ulmus,pumila,69,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:19:00,WAVI,Vireo gilvus,Vireo,gilvus,Glean,Foraging,Siberian elm,Ulmus pumila,Ulmus,pumila,69,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:19:00,WAVI,Vireo gilvus,Vireo,gilvus,Glean,Foraging,Siberian elm,Ulmus pumila,Ulmus,pumila,69,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:19:00,WAVI,Vireo gilvus,Vireo,gilvus,Glean,Foraging,Siberian elm,Ulmus pumila,Ulmus,pumila,69,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:19:00,WAVI,Vireo gilvus,Vireo,gilvus,Glean,Foraging,Siberian elm,Ulmus pumila,Ulmus,pumila,69,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:20:00,CSWA,Setophaga pensylvanica,Setophaga,pensylvanica,Vocalising,Vocalisation,Siberian elm,Ulmus pumila,Ulmus,pumila,69,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:20:00,CSWA,Setophaga pensylvanica,Setophaga,pensylvanica,Glean,Foraging,Siberian elm,Ulmus pumila,Ulmus,pumila,69,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:21:00,NOCA,Cardinalis cardinalis,Cardinalis,cardinalis,Peck,Foraging,Malus sylvestris,Malus sylvestris,Malus,sylvestris,37,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:21:00,NOCA,Cardinalis cardinalis,Cardinalis,cardinalis,Inactive rest,Inactive rest,Malus sylvestris,Malus sylvestris,Malus,sylvestris,37,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:22:00,WIWA,Cardellina pusilla,Cardellina,pusilla,Vocalising,Vocalisation,Malus sylvestris,Malus sylvestris,Malus,sylvestris,37,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:23:00,SWTH,Catharus ustulatus,Catharus,ustulatus,Glean,Foraging,NA,NA,NA,NA,NA,
Y18,16/5/2024,07:04:00,13,4,NA,3,07:23:00,SWTH,Catharus ustulatus,Catharus,ustulatus,Inactive rest,Inactive rest,Malus sylvestris,Malus sylvestris,Malus,sylvestris,37,
Y04,16/5/2024,08:16:00,13,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
S04,16/5/2024,09:14:00,13,3,NA,3,09:14:00,EUST,Sturnus vulgaris,Sturnus,vulgaris,Peck,Foraging,Silver maple,Acer saccharinum,Acer,saccharinum,85,
S04,16/5/2024,09:14:00,13,3,NA,3,09:15:00,EUST,Sturnus vulgaris,Sturnus,vulgaris,Peck,Foraging,Silver maple,Acer saccharinum,Acer,saccharinum,85,
S04,16/5/2024,09:14:00,13,3,NA,3,09:15:00,EUST,Sturnus vulgaris,Sturnus,vulgaris,Peck,Foraging,Silver maple,Acer saccharinum,Acer,saccharinum,85,
