"Bird.code","Observations"
"HOSP",362
"EUST",149
"BCCH",107
"AMRO",92
"NOCA",89
"CHSP",52
"SOSP",27
"WBNU",18
"AMGO",10
"COGR",8
"WAVI",7
"AMCR",6
"BLJA",6
"NOFL",5
"HAWO",4
"HOFI",4
"MODO",4
"RBNU",4
"REVI",3
"CEDW",2
"CSWA",2
"GCKI",2
"LEFL",2
"SWTH",2
"DOWO",1
"EWPE",1
"WIWA",1
"YEWA",1
