"","Yard.code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH","Notes","BehaviourType","Type","IsHedge","Basal.density"
"1","S02","15/05/2024","10:33","10:53",15,2,2,"Wednesday ","HOSP","Passer domesticus","Vocalize","10:43","Red ash","Fraxinus pennsylvanica","48","","Territory_defense","Street","NA","NA"
"2","S01","15/05/2024","11:01","11:21",15,2,2,"Wednesday ","GCKI","Regulus satrapa","Sally","10:10","Silver maple","Acer saccharinum","80","Sound ranged between 2-4, street cleaning passed by ","Foraging","Street","NA","NA"
"3","S01","15/05/2024","11:01","11:21",15,2,2,"Wednesday ","GCKI","Regulus satrapa","Sally","10:10","Silver maple","Acer saccharinum","80","Specific DBH not taken, looked at public tree inventory to see the sizes of this tree on the segment ","Foraging","Street","NA","NA"
"4","S01","15/05/2024","11:01","11:21",15,2,2,"Wednesday ","HOFI","Haemorhous mexicanus","Perch","10:15","Silver maple","Acer saccharinum","80","","Rest","Street","NA","NA"
"5","S01","15/05/2024","11:01","11:21",15,2,2,"Wednesday ","HOFI","Haemorhous mexicanus","Perch","10:15","Silver maple","Acer saccharinum","80","","Rest","Street","NA","NA"
"6","S01","15/05/2024","11:01","11:21",15,2,2,"Wednesday ","AMRO","Turdus migratorius","Preen","10:20","Silver maple","Acer saccharinum","80","","Grooming","Street","NA","NA"
"7","S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Peck","9:14","Silver maple","Acer saccharinum","80","EUST nest in nearly every tree","Foraging","Street","NA","NA"
"8","S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Peck","9:15","Silver maple","Acer saccharinum","80","Specific DBH not taken, looked at public tree inventory to see the sizes of this tree on the segment ","Foraging","Street","NA","NA"
"9","S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Peck","9:15","Silver maple","Acer saccharinum","80","","Foraging","Street","NA","NA"
"10","S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Feed young","9:16","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"11","S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Feed young","9:17","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"12","S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","HOSP","Passer domesticus","Vocalize","9:20","Silver maple","Acer saccharinum","80","","Territory_defense","Street","NA","NA"
"13","S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","EUST","Sturnus vulgaris","Carry food","9:25","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"14","S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","HOSP","Passer domesticus","Vocalize","9:26","Silver maple","Acer saccharinum","80","","Territory_defense","Street","NA","NA"
"15","S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","HOSP","Passer domesticus","Perch","9:28","Silver maple","Acer saccharinum","80","","Rest","Street","NA","NA"
"16","S04","16/05/2024","9:14","9:34",13,3,3,"Thursday","AMRO","Turdus migratorius","Vocalize","9:30","Silver maple","Acer saccharinum","80","","Territory_defense","Street","NA","NA"
"17","S04","16/05/2024","9:14","9:34",13,3,2,"Thursday","EUST","Sturnus vulgaris","Feed young","9:32","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"18","S04","16/05/2024","9:14","9:34",13,3,2,"Thursday","HOSP","Passer domesticus","Perch","9:34","Silver maple","Acer saccharinum","80","","Rest","Street","NA","NA"
