"Code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH","Notes","BehaviourType","Type","IsHedge","Basal.density"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Vocalize","7:37","Norway maple","Acer platanoides","40","","Territory_defense","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:39","Sugar maple","Acer saccharum","40","","Rest","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Vocalize","7:39","Sugar maple","Acer saccharum","40","","Territory_defense","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Peck","7:40","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S09","03/06/2024","8:22","8:42",21,1,2,"Monday","AMRO","Turdus migratorius","Hop","8:22","Ground",NA,NA,"YEWA head from train tracks. CHSW flying through the canopy of the Red ash (DBH = 80).","Foraging","Street","NA","NA"
"S09","03/06/2024","8:22","8:42",21,1,2,"Monday","HOSP","Passer domesticus","Vocalize","8:25","Common hackberry","Celtis occidentalis","4","","Territory_defense","Street","NA","NA"
"S09","03/06/2024","8:22","8:42",21,1,2,"Monday","AMRO","Turdus migratorius","Vocalize","8:29","Red ash","Fraxinus pensylvannica ","80","* second to last on street","Territory_defense","Street","NA","NA"
"S09","03/06/2024","8:22","8:42",21,1,2,"Monday","HOSP","Passer domesticus","Vocalize","8:30","Red ash","Fraxinus pensylvannica ","45","* last tree on street","Territory_defense","Street","NA","NA"
"S09","03/06/2024","8:22","8:42",21,1,2,"Monday","HOSP","Passer domesticus","Peck","8:31","Red ash","Fraxinus pensylvannica ","80","* second to last on street","Foraging","Street","NA","NA"
"S09","03/06/2024","8:22","8:42",21,1,2,"Monday","HOSP","Passer domesticus","Vocalize","8:32","Red ash","Fraxinus pensylvannica ","80","* second to last on street","Territory_defense","Street","NA","NA"
"S09","03/06/2024","8:22","8:42",21,1,2,"Monday","HOSP","Passer domesticus","Peck","8:33","Red ash","Fraxinus pensylvannica ","80","* second to last on street","Foraging","Street","NA","NA"
"S09","03/06/2024","8:22","8:42",21,1,2,"Monday","HOSP","Passer domesticus","Reach","8:33","Red ash","Fraxinus pensylvannica ","80","","Foraging","Street","NA","NA"
"S09","03/06/2024","8:22","8:42",21,1,2,"Monday","HOSP","Passer domesticus","Vocalize","8:33","Red ash","Fraxinus pensylvannica ","80","","Territory_defense","Street","NA","NA"
"S09","03/06/2024","8:22","8:42",21,1,2,"Monday","HOSP","Passer domesticus","Peck","8:37","Red ash","Fraxinus pensylvannica ","36","","Foraging","Street","NA","NA"
"S15","03/06/2024","9:19","9:39",22,1,2,"Monday","HOSP","Passer domesticus","Vocalize","9:32","European linden","Tilia × europaea","50","* second to last tree in crescent","Territory_defense","Street","NA","NA"
"S15","03/06/2024","9:19","9:39",22,1,2,"Monday","HOSP","Passer domesticus","Perch","9:33","Red ash","Fraxinus pensylvannica ","24","* double check tree, checked - part of inventory","Rest","Street","NA","NA"
"S15","03/06/2024","9:19","9:39",22,1,2,"Monday","EUST","Sturnus vulgaris","Gape","9:35","Ground",NA,NA,"ROPI on balcony. CHSW flying low. Female NOCA foraging on ground. Possible hawk (RTHA) flyover at 9:25. ","Foraging","Street","NA","NA"
"S15","03/06/2024","9:19","9:39",22,1,2,"Monday","EUST","Sturnus vulgaris","Beg","9:37","Ground",NA,NA,"","Reproduction","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","EUST","Sturnus vulgaris","Gape","9:56","Ground",NA,NA,"REVI and NOCA heard vocalizing","Foraging","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","EUST","Sturnus vulgaris","Gape","9:56","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","AMRO","Turdus migratorius","Perch","9:57","Silver maple","Acer saccharinum","25","","Rest","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","AMRO","Turdus migratorius","Preen","9:57","Silver maple","Acer saccharinum","25","","Grooming","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","AMRO","Turdus migratorius","Peck","9:57","Silver maple","Acer saccharinum","25","","Foraging","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","AMRO","Turdus migratorius","Perch","9:57","Silver maple","Acer saccharinum","25","","Rest","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","AMRO","Turdus migratorius","Preen","9:57","Silver maple","Acer saccharinum","25","","Grooming","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","AMRO","Turdus migratorius","Peck","9:57","Silver maple","Acer saccharinum","25","","Foraging","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","NOCA","Cardinalis cardinalis","Perch","10:00","Silver maple","Acer saccharinum","89","","Rest","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","EUST","Sturnus vulgaris","Gape","10:03","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","EUST","Sturnus vulgaris","Perch","10:04","Silver maple","Acer saccharinum","106","Nest in cavity","Rest","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","EUST","Sturnus vulgaris","Preen","10:04","Silver maple","Acer saccharinum","106","","Grooming","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","EUST","Sturnus vulgaris","Feed young","10:08","Silver maple","Acer saccharinum","106","","Reproduction","Street","NA","NA"
"S07","03/06/2024","9:54","10:14",22,1,2,"Monday","EUST","Sturnus vulgaris","Perch","10:10","Silver maple","Acer saccharinum","106","","Rest","Street","NA","NA"
"S19","04/06/2024","7:21","7:41",18,1,2,"Tuesday","HOSP","Passer domesticus","Perch","7:26","Norway maple","Acer platanoides","50","BLJA X2, NOCA, AMRO on silver maple across the street","Rest","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Gape","8:16","Ground",NA,NA,"AMRO and NOCA heard vocalizing.","Foraging","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Gape","8:16","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Gape","8:16","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Hop","8:17","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","AMCR","Corvus brachyrhynchos","Preen","8:17","Norway maple","Acer platanoides","70","","Grooming","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","AMCR","Corvus brachyrhynchos","Perch","8:17","Norway maple","Acer platanoides","70","","Rest","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","AMCR","Corvus brachyrhynchos","Vocalize","8:17","Norway maple","Acer platanoides","70","","Territory_defense","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Perch","8:18","Norway maple","Acer platanoides","70","","Rest","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Perch","8:18","Norway maple","Acer platanoides","70","","Rest","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Perch","8:18","Norway maple","Acer platanoides","70","","Rest","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Perch","8:18","Norway maple","Acer platanoides","70","","Rest","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","AMCR","Corvus brachyrhynchos","Preen","8:20","Norway maple","Acer platanoides","70","","Grooming","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","HOSP","Passer domesticus","Perch","8:25","Norway maple","Acer platanoides","70","","Rest","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Vocalize","8:29","Norway maple","Acer platanoides","70","","Territory_defense","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Perch","8:29","Norway maple","Acer platanoides","70","","Rest","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Perch","8:29","Norway maple","Acer platanoides","70","","Rest","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Gape","8:29","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Gape","8:29","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","EUST","Sturnus vulgaris","Gape","8:29","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","CHSP","Spizella passerina","Peck","8:31","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","HOSP","Passer domesticus","Hop","8:33","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S08","04/06/2024","8:15","8:35",18,1,2,"Tuesday","HOSP","Passer domesticus","Vocalize","8:35","Autumn blaze maple","Acer x freemanii 'Autumn Blaze'","36","","Territory_defense","Street","NA","NA"
"S20","04/06/2024","9:12","9:32",19,1,2,"Tuesday",NA,"","","","","","","COHA pair flyover. TUVU flyover. Very quiet (no construction, few birds, no cars). CHSP, AMRO, NOCA heard in backyards. ","NA","Street","NA","NA"
"S21","04/06/2024","9:46","10:06",20,1,2,"Tuesday","SOSP","Melospiza melodia","Perch","9:49","Autumn blaze maple","Acer x freemanii 'Autumn Blaze'","30","X4 AMCR down the street. NOCA, AMRO, and REVI heard. GREG flyover. Cat.","Rest","Street","NA","NA"
"S21","04/06/2024","9:46","10:06",20,1,2,"Tuesday","AMRO","Turdus migratorius","Carry food","10:02","Ground",NA,NA,"","Reproduction","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","HOSP","Passer domesticus","Glean","8:56","Tatarian honeysuckle","Lonicera tatarica","2","NOCA, AMRO, BLJA X2, EUST seen and heard. HOSP copulation on neighbour's roof. Squirrels fighting in almost every tree from ~ 8:46-9:00.","Foraging","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","HOSP","Passer domesticus","Glean","8:56","Tatarian honeysuckle","Lonicera tatarica","2","Tartarian honeysuckle: multi-stemmed in ROW (hedge).","Foraging","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","HOSP","Passer domesticus","Glean","8:59","Tatarian honeysuckle","Lonicera tatarica","2","","Foraging","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","AMRO","Turdus migratorius","Vocalize","9:01","Silver maple","Acer saccharinum","60","","Territory_defense","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","HOSP","Passer domesticus","Vocalize","9:03","Silver maple","Acer saccharinum","60","","Territory_defense","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","HOSP","Passer domesticus","Bill wipe","9:03","Silver maple","Acer saccharinum","60","","Grooming","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","HOSP","Passer domesticus","Vocalize","9:04","Silver maple","Acer saccharinum","60","","Territory_defense","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","AMRO","Turdus migratorius","Perch","9:04","Silver maple","Acer saccharinum","96","","Rest","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","EUST","Sturnus vulgaris","Hop","9:05","Silver maple","Acer saccharinum","60","","Foraging","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","EUST","Sturnus vulgaris","Perch","9:05","Silver maple","Acer saccharinum","60","","Rest","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","EUST","Sturnus vulgaris","Preen","9:05","Silver maple","Acer saccharinum","96","","Grooming","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","EUST","Sturnus vulgaris","Vocalize","9:05","Silver maple","Acer saccharinum","96","","Territory_defense","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","EUST","Sturnus vulgaris","Preen","9:05","Silver maple","Acer saccharinum","96","","Grooming","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","EUST","Sturnus vulgaris","Vocalize","9:05","Silver maple","Acer saccharinum","96","","Territory_defense","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","AMRO","Turdus migratorius","Perch","9:05","Norway maple","Acer platanoides","44","","Rest","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","AMRO","Turdus migratorius","Gape","9:05","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S17","05/06/2024","8:46","9:06",21,1,2,"Wednesday ","NOCA","Cardinalis cardinalis","Vocalize","9:06","Silver maple","Acer saccharinum","60","","Territory_defense","Street","NA","NA"
"S11","10/06/2024","7:42","8:02",14,4,3,"Monday","AMRO","Turdus migratorius","Gape","7:54","Ground",NA,NA,"CHSP nest in hedge. Heard or saw AMCR, AMRO, ROPI, EUST, HOSP. Heron flyover.","Foraging","Street","NA","NA"
"S11","10/06/2024","7:42","8:02",14,4,3,"Monday","CHSP","Spizella passerina","Glean","7:55","White elm","Ulmus americana","79","","Foraging","Street","NA","NA"
"S11","10/06/2024","7:42","8:02",14,4,3,"Monday","HOSP","Passer domesticus","Peck","7:55","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S11","10/06/2024","7:42","8:02",14,4,3,"Monday","CHSP","Spizella passerina","Glean","7:57","White elm","Ulmus americana","79","","Foraging","Street","NA","NA"
"S11","10/06/2024","7:42","8:02",14,4,3,"Monday","CHSP","Spizella passerina","Vocalize","7:58","White elm","Ulmus americana","79","","Territory_defense","Street","NA","NA"
"S05","10/06/2024","8:10","8:30",14,3,3,"Monday","HOSP","Passer domesticus","Vocalize","8:28","Norway maple","Acer platanoides","31","AMRO, EUST, ROPI, BCCH, HOSP, CHSW seen or heard. Sun came out at 8:14. Busy sidewalk.","Territory_defense","Street","NA","NA"
"S05","10/06/2024","8:10","8:30",14,3,3,"Monday","HOSP","Passer domesticus","Hop","8:28","Norway maple","Acer platanoides","31","","Foraging","Street","NA","NA"
"S05","10/06/2024","8:10","8:30",14,3,3,"Monday","HOSP","Passer domesticus","Vocalize","8:28","Norway maple","Acer platanoides","31","","Territory_defense","Street","NA","NA"
"S05","10/06/2024","8:10","8:30",14,3,3,"Monday","HOSP","Passer domesticus","Hop","8:28","Norway maple","Acer platanoides","31","","Foraging","Street","NA","NA"
"S05","10/06/2024","8:10","8:30",14,3,3,"Monday","AMRO","Turdus migratorius","Perch","8:29","Norway maple","Acer platanoides","28","","Rest","Street","NA","NA"
"S14","10/06/2024","9:11","9:31",15,3,3,"Monday","HOSP","Passer domesticus","Peck","9:21","European linden","Tilia × europaea","57","Construction. Heard CHSP, HOSP, CHSW. Low flying CHSWs. TUVU flyover. ","Foraging","Street","NA","NA"
"S14","10/06/2024","9:11","9:31",15,3,3,"Monday","HOSP","Passer domesticus","Vocalize","9:21","European linden","Tilia × europaea","51","* blue spruce DBH = 44","Territory_defense","Street","NA","NA"
"S14","10/06/2024","9:11","9:31",15,3,3,"Monday","HOSP","Passer domesticus","Hop","9:21","European linden","Tilia × europaea","51","","Foraging","Street","NA","NA"
"S14","10/06/2024","9:11","9:31",15,3,3,"Monday","EUST","Sturnus vulgaris","Perch","9:28","European linden","Tilia × europaea","51","","Rest","Street","NA","NA"
"S21","11/06/2024","7:05","7:25",12,4,2,"Tuesday","CHSP","Spizella passerina","Vocalize","7:11","Blue spruce","Picea pungens","6","Mist raining. NOCA, REVI (X2, loud in backyard in large trees), AMCR, SOSP, BLJA, AMRO, EUST, COGR, BCCH, CHSW heard or seen.","Territory_defense","Street","NA","NA"
"S21","11/06/2024","7:05","7:25",12,4,2,"Tuesday","EUST","Sturnus vulgaris","Vocalize","7:12","Silver maple","Acer saccharinum","79","","Territory_defense","Street","NA","NA"
"S21","11/06/2024","7:05","7:25",12,4,2,"Tuesday","AMRO","Turdus migratorius","Perch","7:17","Silver maple","Acer saccharinum","79","","Rest","Street","NA","NA"
"S21","11/06/2024","7:05","7:25",12,4,2,"Tuesday","CEDW","Bombycilla cedrorum","Perch","7:20","Silver maple","Acer saccharinum","30","","Rest","Street","NA","NA"
"S21","11/06/2024","7:05","7:25",12,4,2,"Tuesday","CEDW","Bombycilla cedrorum","Perch","7:20","Norway maple","Acer platanoides","30","* approximation of DBH","Rest","Street","NA","NA"
"S21","11/06/2024","7:05","7:25",12,4,2,"Tuesday","CEDW","Bombycilla cedrorum","Perch","7:25","Autumn blaze maple","Acer x freemanii 'Autumn Blaze'","30","","Rest","Street","NA","NA"
"S21","11/06/2024","7:05","7:25",12,4,2,"Tuesday","CEDW","Bombycilla cedrorum","Perch","7:25","Autumn blaze maple","Acer x freemanii 'Autumn Blaze'","30","","Rest","Street","NA","NA"
"S03","11/06/2024","7:43","8:03",12,4,3,"Tuesday",NA,"","","","","","","West Broadway is a very loud street, especially traffic noises. Misting rain. AMCR on pecking garbage can in right of way. SOSP, NOCA, EUST, COGR, BLJA, AMCR heard or seen. Possible COHA flyover down the street.","NA","Street","NA","NA"
"S08","13/06/2024","7:21","7:41",15,1,1,"Thursday","HOSP","Passer domesticus","Vocalize","7:28","Bush honeysuckle","Diervilla lonicera","2","Heard or saw NOCA, CHSW (flying low and vocalizing loudly), EUST, HOSP. Lots of squirrels.","Territory_defense","Street","NA","NA"
"S08","13/06/2024","7:21","7:41",15,1,1,"Thursday","HOSP","Passer domesticus","Preen","7:28","Bush honeysuckle","Diervilla lonicera","2","","Grooming","Street","NA","NA"
"S08","13/06/2024","7:21","7:41",15,1,1,"Thursday","HOSP","Passer domesticus","Vocalize","7:28","Bush honeysuckle","Diervilla lonicera","2","","Territory_defense","Street","NA","NA"
"S08","13/06/2024","7:21","7:41",15,1,1,"Thursday","HOSP","Passer domesticus","Hop","7:30","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S08","13/06/2024","7:21","7:41",15,1,1,"Thursday","WBNU","Sitta carolinensis","Vocalize","7:32","Norway maple","Acer platanoides","72","","Territory_defense","Street","NA","NA"
"S08","13/06/2024","7:21","7:41",15,1,1,"Thursday","WBNU","Sitta carolinensis","Peck","7:32","Norway maple","Acer platanoides","72","","Foraging","Street","NA","NA"
"S08","13/06/2024","7:21","7:41",15,1,1,"Thursday","HOSP","Passer domesticus","Perch","7:35","Norway maple","Acer platanoides","72","","Rest","Street","NA","NA"
"S08","13/06/2024","7:21","7:41",15,1,1,"Thursday","EUST","Sturnus vulgaris","Vocalize","7:39","Autumn blaze maple","Acer x freemanii 'Autumn Blaze'","36","","Territory_defense","Street","NA","NA"
"S08","13/06/2024","7:21","7:41",15,1,1,"Thursday","EUST","Sturnus vulgaris","Vocalize","7:39","Autumn blaze maple","Acer x freemanii 'Autumn Blaze'","36","","Territory_defense","Street","NA","NA"
"S08","13/06/2024","7:21","7:41",15,1,1,"Thursday","EUST","Sturnus vulgaris","Vocalize","7:39","Autumn blaze maple","Acer x freemanii 'Autumn Blaze'","36","","Territory_defense","Street","NA","NA"
"S20","13/06/2024","7:53","8:13",16,1,1,"Thursday","CHSP","Spizella passerina","Perch","7:55","Norway maple","Acer platanoides","24","Heard or saw AMCR, CHSW, NOCA, EUST, CHSP, AMRO, HOSP. Birds were primarily in backyards on other side of the street","Rest","Street","NA","NA"
"S12","13/06/2024","9:38","9:50",19,1,2,"Thursday","HOSP","Passer domesticus","Perch","9:42","Silver maple","Acer saccharinum","63","Heard or saw BLJA, NOCA, CHSP, AMRO, AMCR, ROPI, SOSP, BCCH, CHSW, EUST.","Rest","Street","NA","NA"
"S12","13/06/2024","9:38","9:50",19,1,2,"Thursday","HOSP","Passer domesticus","Perch","9:42","Silver maple","Acer saccharinum","63","","Rest","Street","NA","NA"
"S12","13/06/2024","9:38","9:50",19,1,2,"Thursday","HOSP","Passer domesticus","Vocalize","9:44","Silver maple","Acer saccharinum","64","","Territory_defense","Street","NA","NA"
"S12","13/06/2024","9:38","9:50",19,1,2,"Thursday","HOSP","Passer domesticus","Vocalize","9:46","Silver maple","Acer saccharinum","76","","Territory_defense","Street","NA","NA"
"S12","13/06/2024","9:38","9:50",19,1,2,"Thursday","AMRO","Turdus migratorius","Gape","9:48","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S12","13/06/2024","9:38","9:50",19,1,2,"Thursday","HOSP","Passer domesticus","Peck","9:48","Silver maple","Acer saccharinum","56","","Foraging","Street","NA","NA"
"S12","13/06/2024","9:38","9:50",19,1,2,"Thursday","HOSP","Passer domesticus","Vocalize","9:48","Silver maple","Acer saccharinum","56","","Territory_defense","Street","NA","NA"
"S12","13/06/2024","9:38","9:50",19,1,2,"Thursday","HOSP","Passer domesticus","Perch","9:51","Silver maple","Acer saccharinum","56","","Rest","Street","NA","NA"
"S12","13/06/2024","9:38","9:50",19,1,2,"Thursday","HOSP","Passer domesticus","Bill wipe","9:53","Silver maple","Acer saccharinum","76","","Grooming","Street","NA","NA"
"S12","13/06/2024","9:38","9:50",19,1,2,"Thursday","HOSP","Passer domesticus","Peck","9:53","Silver maple","Acer saccharinum","76","","Foraging","Street","NA","NA"
"S02","19/06/2024","6:58","7:18",26,4,1,"Wednesday ",NA,"","","","","","","CHSW, HOSP, AMCR, BCCH, AMRO, AMGO, NOCA, CHSP seen or heard.","NA","Street","NA","NA"
"S16","19/06/2024","8:56","9:16",28,1,2,"Wednesday ",NA,"","","","","","","Street mostly quiet. All Norway maples. NOCA, SOSP, EUST, HOSP, CHSW, BCCH, CHSP, AMRO seen or heard. TUVU flyover.","NA","Street","NA","NA"
"S18","20/06/2024","7:16","7:36",27,1,2,"Thursday","AMRO","Turdus migratorius","Gape","7:17","Ground",NA,NA,"4 observations of WBNU on Norway maple across the street. REVI in the big ash in the backyard. NOCA, REVI, HOFI, BCCH, EUST, HOSP, SOSP, CHSP, AMRO, CHSW, WBNU heard or seen.","Foraging","Street","NA","NA"
"S18","20/06/2024","7:16","7:36",27,1,2,"Thursday","CHSP","Spizella passerina","Peck","7:18","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S18","20/06/2024","7:16","7:36",27,1,2,"Thursday","HOFI","Haemorhous mexicanus","Perch","7:18","Norway maple","Acer platanoides","50","","Rest","Street","NA","NA"
"S18","20/06/2024","7:16","7:36",27,1,2,"Thursday","CHSP","Spizella passerina","Perch","7:19","Honey locust","Gleditsia triacanthos","3","","Rest","Street","NA","NA"
"S18","20/06/2024","7:16","7:36",27,1,2,"Thursday","CHSP","Spizella passerina","Perch","7:19","Honey locust","Gleditsia triacanthos","3","","Rest","Street","NA","NA"
"S18","20/06/2024","7:16","7:36",27,1,2,"Thursday","HOSP","Passer domesticus","Vocalize","7:21","Honey locust","Gleditsia triacanthos","3","","Territory_defense","Street","NA","NA"
"S18","20/06/2024","7:16","7:36",27,1,2,"Thursday","HOSP","Passer domesticus","Ground forage","7:21","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S18","20/06/2024","7:16","7:36",27,1,2,"Thursday","HOFI","Haemorhous mexicanus","Vocalize","7:24","Norway maple","Acer platanoides","50","","Territory_defense","Street","NA","NA"
"S18","20/06/2024","7:16","7:36",27,1,2,"Thursday","BCCH","Poecile atricapillus","Vocalize","7:36","Norway spruce","Picea abies","35","","Territory_defense","Street","NA","NA"
"S18","20/06/2024","7:16","7:36",27,1,2,"Thursday","BCCH","Poecile atricapillus","Peck","7:36","Norway spruce","Picea abies","35","","Foraging","Street","NA","NA"
"S18","20/06/2024","7:16","7:36",27,1,2,"Thursday","NOCA","Cardinalis cardinalis","Perch","7:36","Norway maple","Acer platanoides","50","","Rest","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","HOSP","Passer domesticus","Bill wipe","8:14","Honey locust","Gleditsia triacanthos","23","","Grooming","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","EUST","Sturnus vulgaris","Gape","8:19","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","EUST","Sturnus vulgaris","Gape","8:19","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","BCCH","Poecile atricapillus","Glean","8:20","Silver maple","Acer saccharinum","74","","Foraging","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","EUST","Sturnus vulgaris","Gape","8:21","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","BCCH","Poecile atricapillus","Hang","8:22","Silver maple","Acer saccharinum","74","","Foraging","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","EUST","Sturnus vulgaris","Perch","8:22","Silver maple","Acer saccharinum","74","","Rest","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","EUST","Sturnus vulgaris","Gape","8:22","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","EUST","Sturnus vulgaris","Perch","8:23","Silver maple","Acer saccharinum","81","","Rest","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","HOSP","Passer domesticus","Vocalize","8:24","Silver maple","Acer saccharinum","81","","Territory_defense","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","EUST","Sturnus vulgaris","Bill wipe","8:27","Silver maple","Acer saccharinum","74","","Grooming","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","EUST","Sturnus vulgaris","Bill wipe","8:27","Silver maple","Acer saccharinum","84","","Grooming","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","EUST","Sturnus vulgaris","Vocalize","8:28","Silver maple","Acer saccharinum","84","","Territory_defense","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","BCCH","Poecile atricapillus","Hang","8:33","Silver maple","Acer saccharinum","81","","Foraging","Street","NA","NA"
"S04","20/06/2024","8:14","8:34",28,1,2,"Thursday","BCCH","Poecile atricapillus","Glean","8:34","Honey locust","Gleditsia triacanthos","23","","Foraging","Street","NA","NA"
"S17","20/06/2024","8:48","9:08",28,1,2,"Thursday","EUST","Sturnus vulgaris","Gape","8:49","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S17","20/06/2024","8:48","9:08",28,1,2,"Thursday","EUST","Sturnus vulgaris","Hop","8:49","Ground",NA,NA,"","Foraging","Street","NA","NA"
