"Code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH","Notes","BehaviourType","Type","IsHedge","Basal.density"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Bill wipe","7:15","Silver maple","Acer saccharinum","80","","Grooming","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Bill wipe","7:15","Silver maple","Acer saccharinum","80","","Grooming","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Feed young","7:17","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Feed young","7:17","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Gape","7:19","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","NOCA","Cardinalis cardinalis","Vocalize","7:20","Silver maple","Acer saccharinum","   ","","Territory_defense","Street","NA","NA"
"S07","22/05/2024","7:04","7:24",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Feed young","7:22","Silver maple","Acer saccharinum","80","","Reproduction","Street","NA","NA"
"S12","22/05/2024","7:47","8:07",19,1,1,"Wednesday ","WBNU","Sitta carolinensis","Peck","7:55","Silver maple","Acer saccharinum","80","","Foraging","Street","NA","NA"
"S12","22/05/2024","7:47","8:07",19,1,1,"Wednesday ","EUST","Sturnus vulgaris","Bill wipe","7:57","Silver maple","Acer saccharinum","80","","Grooming","Street","NA","NA"
"S12","22/05/2024","7:47","8:07",19,1,1,"Wednesday ","AMRO","Turdus migratorius","Gape","8:00","Silver maple","Acer saccharinum","80","","Foraging","Street","NA","NA"
"S12","22/05/2024","7:47","8:07",19,1,1,"Wednesday ","AMRO","Turdus migratorius","Gape","8:05","Silver maple","Acer saccharinum","80","","Foraging","Street","NA","NA"
"S15","22/05/2024","8:35","8:55",19,1,1,"Wednesday ",NA,"","","","","","","Only 1 street tree, construction & street cleaning passing by, YEWA and AMRE heard across the street, lots ot CHSW above, Benny Crescent may be better","NA","Street","NA","NA"
"S16","24/05/2024","6:44","7:04",16,2,4,"Friday","AMGO","Spinus tristis","Vocalize","6:44","Norway maple","Acer platanoides","35","Windy, saw BEKI flying around","Territory_defense","Street","NA","NA"
"S05","24/05/2024","7:27","7:48",17,4,4,"Friday","HOSP","Passer domesticus","Vocalize","7:27","Norway maple","Acer platanoides","25","","Territory_defense","Street","NA","NA"
"S05","24/05/2024","7:27","7:48",17,4,4,"Friday","HOSP","Passer domesticus","Vocalize","7:27","Norway maple","Acer platanoides","20","","Territory_defense","Street","NA","NA"
"S05","24/05/2024","7:27","7:48",17,4,4,"Friday","HOSP","Passer domesticus","Perch","7:30","Norway maple","Acer platanoides","20","","Rest","Street","NA","NA"
"S05","24/05/2024","7:27","7:48",17,4,4,"Friday","CHSP","Spizella passerina","Vocalize","7:34","Norway maple","Acer platanoides","20","","Territory_defense","Street","NA","NA"
"S05","24/05/2024","7:27","7:48",17,4,4,"Friday","CHSP","Spizella passerina","Collect nesting material","7:37","Norway maple","Acer platanoides","20","","Reproduction","Street","NA","NA"
"S05","24/05/2024","7:27","7:48",17,4,4,"Friday","CHSP","Spizella passerina","Perch","7:37","Norway maple","Acer platanoides","20","","Rest","Street","NA","NA"
"S05","24/05/2024","7:27","7:48",17,4,4,"Friday","HOSP","Passer domesticus","Vocalize","7:44","Norway maple","Acer platanoides","20","","Territory_defense","Street","NA","NA"
"S05","24/05/2024","7:27","7:48",17,4,4,"Friday","HOSP","Passer domesticus","Vocalize","7:48","Norway maple","Acer platanoides","20","","Territory_defense","Street","NA","NA"
"S11","24/05/2024","8:11","8:31",17,4,4,"Friday","CHSP","Spizella passerina","Perch","8:17","American elm","Ulmus americana","50","Very windy, light rain just before survey","Rest","Street","NA","NA"
"S11","24/05/2024","8:11","8:31",17,4,4,"Friday","CHSP","Spizella passerina","Perch","8:17","American elm","Ulmus americana","50","","Rest","Street","NA","NA"
"S10","24/05/2024","8:41","9:01",17,1,4,"Friday","HOSP","Passer domesticus","Hop","8:47","Ground",NA,NA,"","Foraging","Street","NA","NA"
