Species2,Family2,Order2,Avibase_id,Inferred,MainDiet,MainNiche,Pa,Pt,Ne,Se,Fr,In,Ap,Vt,Ca,PAG,PAS,PAD,PEL,PGR,NAE,NGL,SEL,SGR,FAE,FGL,FGR,IAE,ISA,ISS,ISG,IVS,IGE,IGG,APA,APL,APP,APG,APS,APD,VAE,VAS,VPE,VGE,VGG,CAQ,CGR
Accipiter albogularis,Accipitridae,Accipitriformes,AVIBASE-BBB59880,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0
Accipiter badius,Accipitridae,Accipitriformes,AVIBASE-1A0ECB6E,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,9,0,72,9,0,0,0
Accipiter bicolor,Accipitridae,Accipitriformes,AVIBASE-ADBE44E1,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0
Accipiter brachyurus,Accipitridae,Accipitriformes,AVIBASE-68BF920B,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0
Accipiter brevipes,Accipitridae,Accipitriformes,AVIBASE-8492E4B7,0,Vt,Generalist,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,0,0,0,6,36,18,0,0,0,0
Accipiter butleri,Accipitridae,Accipitriformes,AVIBASE-6B64C150,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
Accipiter castanilius,Accipitridae,Accipitriformes,AVIBASE-9D80E72A,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,36,0,54,0,0,0,0
Accipiter cirrocephalus,Accipitridae,Accipitriformes,AVIBASE-21957C95,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,36,18,36,0,0,0,0
Accipiter collaris,Accipitridae,Accipitriformes,AVIBASE-32760AD5,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0
Accipiter cooperii,Accipitridae,Accipitriformes,AVIBASE-EB98812F,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,30,0,0,0,0
Accipiter erythrauchen,Accipitridae,Accipitriformes,AVIBASE-950C5048,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0
Accipiter erythropus,Accipitridae,Accipitriformes,AVIBASE-AFD19C47,0,Vt,Generalist,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,24,0,36,0,0,0,0
Accipiter fasciatus,Accipitridae,Accipitriformes,AVIBASE-8257AE54,0,Vt,Generalist,0,0,0,0,0,20,0,70,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,10,0,0,2,0,0,0,0,0,0,14,14,42,0,0,0,10
Accipiter francesiae,Accipitridae,Accipitriformes,AVIBASE-0307D245,0,In,ISS,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,4,0,36,0,0,0,0
Accipiter gentilis,Accipitridae,Accipitriformes,AVIBASE-420850D6,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,60,0,0,0,0
Accipiter griseiceps,Accipitridae,Accipitriformes,AVIBASE-4C2DBB2A,0,Vt,VPE,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,8,0,72,0,0,0,0
Accipiter gularis,Accipitridae,Accipitriformes,AVIBASE-797C9090,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,27,0,63,0,0,0,0
Accipiter gundlachi,Accipitridae,Accipitriformes,AVIBASE-0EDF5A1C,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,30,0,0,0,0
Accipiter haplochrous,Accipitridae,Accipitriformes,AVIBASE-18B4CE02,0,Vt,Generalist,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,14,0,56,0,0,0,0
Accipiter henicogrammus,Accipitridae,Accipitriformes,AVIBASE-9288286D,0,Vt,VPE,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,7,0,63,0,0,0,0
Accipiter henstii,Accipitridae,Accipitriformes,AVIBASE-05701150,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0
Accipiter hiogaster,Accipitridae,Accipitriformes,AVIBASE-A4AAB528,0,Vt,Generalist,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,7,21,42,0,0,0,0
Accipiter imitator,Accipitridae,Accipitriformes,AVIBASE-466CC533,0,Vt,Generalist,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,18,0,42,0,0,0,0
Accipiter luteoschistaceus,Accipitridae,Accipitriformes,AVIBASE-EA787A01,0,Vt,VPE,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Accipiter madagascariensis,Accipitridae,Accipitriformes,AVIBASE-5D673E3E,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,32,0,48,0,0,0,0
Accipiter melanochlamys,Accipitridae,Accipitriformes,AVIBASE-1F0322E5,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,36,0,54,0,0,0,0
Accipiter melanoleucus,Accipitridae,Accipitriformes,AVIBASE-819AB823,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,40,0,0,0,0
Accipiter meyerianus,Accipitridae,Accipitriformes,AVIBASE-87B94C0E,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,40,0,0,0,0
Accipiter minullus,Accipitridae,Accipitriformes,AVIBASE-CE1CF6FD,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,48,0,32,0,0,0,0
Accipiter nanus,Accipitridae,Accipitriformes,AVIBASE-7F1573CA,0,In,Generalist,0,0,0,0,0,70,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,49,0,0,0,0,0,0,0,0,0,3,0,27,0,0,0,0
Accipiter nisus,Accipitridae,Accipitriformes,AVIBASE-DB376A66,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0
Accipiter novaehollandiae,Accipitridae,Accipitriformes,AVIBASE-CFB9E213,2,Vt,Generalist,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,7,21,42,0,0,0,0
Accipiter ovampensis,Accipitridae,Accipitriformes,AVIBASE-BAE91683,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20,0,0,0,0
Accipiter poliocephalus,Accipitridae,Accipitriformes,AVIBASE-435FF493,0,Vt,VPE,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,8,0,72,0,0,0,0
Accipiter poliogaster,Accipitridae,Accipitriformes,AVIBASE-707547BB,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0
Accipiter princeps,Accipitridae,Accipitriformes,AVIBASE-B202721E,0,Vt,Generalist,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,7,21,42,0,0,0,0
Accipiter rhodogaster,Accipitridae,Accipitriformes,AVIBASE-C638D858,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,24,0,56,0,0,0,0
Accipiter rufitorques,Accipitridae,Accipitriformes,AVIBASE-5B6F04D7,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,32,16,32,0,0,0,0
Accipiter rufiventris,Accipitridae,Accipitriformes,AVIBASE-EC0E680F,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,36,36,18,0,0,0,0
Accipiter soloensis,Accipitridae,Accipitriformes,AVIBASE-D188E45C,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,18,63,0,0,0,0
Accipiter striatus,Accipitridae,Accipitriformes,AVIBASE-3B024163,2,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,20,0,0,0,0
Accipiter superciliosus,Accipitridae,Accipitriformes,AVIBASE-F23F7695,0,Vt,VAE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,30,0,0,0,0
Accipiter tachiro,Accipitridae,Accipitriformes,AVIBASE-CD18635A,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,0,0,0,0,0,0,0,0,0,45,18,27,0,0,0,0
Accipiter toussenelii,Accipitridae,Accipitriformes,AVIBASE-8AFD72B2,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,81,0,0,0,0
Accipiter trinotatus,Accipitridae,Accipitriformes,AVIBASE-0BED8100,0,Vt,VPE,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,8,0,72,0,0,0,0
Accipiter trivirgatus,Accipitridae,Accipitriformes,AVIBASE-0D4EE0EB,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,24,0,56,0,0,0,0
Accipiter virgatus,Accipitridae,Accipitriformes,AVIBASE-AB823002,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0
Aegypius monachus,Accipitridae,Accipitriformes,AVIBASE-158BDC90,0,Ca,CGR,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Aquila adalberti,Accipitridae,Accipitriformes,AVIBASE-69742EE4,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0
Aquila africana,Accipitridae,Accipitriformes,AVIBASE-51FD3E3C,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0
Aquila audax,Accipitridae,Accipitriformes,AVIBASE-5E574D70,0,Vt,Generalist,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,32,0,0,0,20
Aquila chrysaetos,Accipitridae,Accipitriformes,AVIBASE-5F8E7CA8,0,Vt,VAS,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,10
Aquila fasciata,Accipitridae,Accipitriformes,AVIBASE-05F11441,0,Vt,VAS,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0,0
Aquila gurneyi,Accipitridae,Accipitriformes,AVIBASE-22A50A54,0,Vt,VAS,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Aquila heliaca,Accipitridae,Accipitriformes,AVIBASE-469DCF57,0,Vt,Generalist,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,10
Aquila nipalensis,Accipitridae,Accipitriformes,AVIBASE-A635F565,0,Vt,VAS,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,9,0,10
Aquila rapax,Accipitridae,Accipitriformes,AVIBASE-F6D547B2,0,Vt,Generalist,0,0,0,0,0,10,10,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,1,0,9,0,0,0,0,42,21,0,7,0,10
Aquila spilogaster,Accipitridae,Accipitriformes,AVIBASE-9A418C45,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0
Aquila verreauxii,Accipitridae,Accipitriformes,AVIBASE-14F13C32,0,Vt,VAS,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0
Aviceda cuculoides,Accipitridae,Accipitriformes,AVIBASE-648936C0,0,Vt,Generalist,0,0,0,0,0,30,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,6,1,0,9,0,0,0,0,12,36,0,12,0,0
Aviceda jerdoni,Accipitridae,Accipitriformes,AVIBASE-0C89F1D6,0,Omnivore,Generalist,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
Aviceda leuphotes,Accipitridae,Accipitriformes,AVIBASE-139A5705,0,In,Generalist,0,0,0,0,0,70,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,14,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
Aviceda madagascariensis,Accipitridae,Accipitriformes,AVIBASE-C8E60C39,0,Vt,VPE,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Aviceda subcristata,Accipitridae,Accipitriformes,AVIBASE-010AC994,0,Omnivore,Generalist,0,0,0,0,10,40,0,50,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,28,8,0,0,4,0,0,0,0,0,0,0,10,30,5,5,0,0
Busarellus nigricollis,Accipitridae,Accipitriformes,AVIBASE-37148B74,0,Ap,APP,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,64,0,0,0,0,4,16,0,0,0,0
Butastur indicus,Accipitridae,Accipitriformes,AVIBASE-2E1D79FE,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Butastur liventer,Accipitridae,Accipitriformes,AVIBASE-DAB52BF2,0,Vt,VPE,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,21,0,0,3,0,0,0,0,0,0,0,0,70,0,0,0,0
Butastur rufipennis,Accipitridae,Accipitriformes,AVIBASE-45A1D850,0,In,ISG,0,0,0,0,0,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,72,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0
Butastur teesa,Accipitridae,Accipitriformes,AVIBASE-868CD246,0,Vt,VPE,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,21,0,0,3,0,0,0,0,0,0,0,0,70,0,0,0,0
Buteo albigula,Accipitridae,Accipitriformes,AVIBASE-B7DB09E8,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,50,0,0,0,0
Buteo albonotatus,Accipitridae,Accipitriformes,AVIBASE-597D7DD6,0,Vt,VAS,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Buteo archeri,Accipitridae,Accipitriformes,AVIBASE-DE8B3F6B,2,Vt,VPE,0,0,0,0,0,10,0,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,16,64,0,0,0,10
Buteo augur,Accipitridae,Accipitriformes,AVIBASE-D41EDD2E,2,Vt,VPE,0,0,0,0,0,10,0,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,16,64,0,0,0,10
Buteo auguralis,Accipitridae,Accipitriformes,AVIBASE-A16C3B99,0,Vt,VPE,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,28,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Buteo bannermani,Accipitridae,Accipitriformes,AVIBASE-5AA3C196,2,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0
Buteo brachypterus,Accipitridae,Accipitriformes,AVIBASE-5CA7B50A,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18,72,0,0,0,0
Buteo brachyurus,Accipitridae,Accipitriformes,AVIBASE-81463CC0,0,Vt,VAS,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0
Buteo buteo,Accipitridae,Accipitriformes,AVIBASE-3C6D4915,2,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0
Buteo galapagoensis,Accipitridae,Accipitriformes,AVIBASE-4D9F58B4,0,Vt,VAS,0,0,0,0,0,10,0,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,72,0,0,8,0,10
Buteo hemilasius,Accipitridae,Accipitriformes,AVIBASE-92FFE8FF,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0
Buteo jamaicensis,Accipitridae,Accipitriformes,AVIBASE-536A5157,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,27,63,0,0,0,0
Buteo japonicus,Accipitridae,Accipitriformes,AVIBASE-3895BE56,2,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0
Buteo lagopus,Accipitridae,Accipitriformes,AVIBASE-90B13ACF,0,Vt,VPE,0,0,0,0,0,10,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,8,72,0,0,0,0
Buteo lineatus,Accipitridae,Accipitriformes,AVIBASE-EA4D6C0B,0,Vt,VAS,0,0,0,0,0,10,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,64,16,0,0,0,0
Buteo nitidus,Accipitridae,Accipitriformes,AVIBASE-4ECE179D,2,Vt,VPE,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,8,72,0,0,0,0
Buteo oreophilus,Accipitridae,Accipitriformes,AVIBASE-5BFEFD9A,2,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
Buteo plagiatus,Accipitridae,Accipitriformes,AVIBASE-943AA4FB,2,Vt,VPE,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,8,72,0,0,0,0
Buteo platypterus,Accipitridae,Accipitriformes,AVIBASE-79F3C681,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,9,81,0,0,0,0
Buteo refectus,Accipitridae,Accipitriformes,AVIBASE-1029A4CA,2,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0
Buteo regalis,Accipitridae,Accipitriformes,AVIBASE-BA9191BC,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0
Buteo ridgwayi,Accipitridae,Accipitriformes,AVIBASE-AE294FD9,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0
Buteo rufinus,Accipitridae,Accipitriformes,AVIBASE-CC65921F,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,60,0,30,0,0
Buteo rufofuscus,Accipitridae,Accipitriformes,AVIBASE-22031845,0,Vt,Generalist,0,0,0,0,0,10,0,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,56,24,0,0,0,10
Buteo socotraensis,Accipitridae,Accipitriformes,AVIBASE-9081D32C,2,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0
Buteo solitarius,Accipitridae,Accipitriformes,AVIBASE-7B3AB998,0,Vt,Generalist,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0
Buteo swainsoni,Accipitridae,Accipitriformes,AVIBASE-DE473F42,0,Vt,VPE,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,6,0,0,0,0,0,0,0,0,70,0,0,0,0
Buteo trizonatus,Accipitridae,Accipitriformes,AVIBASE-C2AD2E83,2,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
Buteo ventralis,Accipitridae,Accipitriformes,AVIBASE-40692C15,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0
Buteogallus aequinoctialis,Accipitridae,Accipitriformes,AVIBASE-478C48D0,0,Ap,APP,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Buteogallus anthracinus,Accipitridae,Accipitriformes,AVIBASE-97FDBB06,0,Ap,Generalist,0,0,0,0,0,0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,14,0,0,0,0,21,0,9,0,0
Buteogallus coronatus,Accipitridae,Accipitriformes,AVIBASE-ABDAC20A,0,Vt,VPE,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,10
Buteogallus gundlachii,Accipitridae,Accipitriformes,AVIBASE-048545EA,0,Omnivore,Generalist,0,0,0,0,0,0,50,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,21,0,9,0,20
Buteogallus lacernulatus,Accipitridae,Accipitriformes,AVIBASE-2EA48BBF,0,Vt,VPE,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
Buteogallus meridionalis,Accipitridae,Accipitriformes,AVIBASE-BAA762A5,0,Vt,VPE,0,0,0,0,0,20,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,60,0,0,0,0
Buteogallus schistaceus,Accipitridae,Accipitriformes,AVIBASE-B2A7EC84,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
